USEmbPan,USEmbPan,US Embassy Panama City,twitter.com/USEmbPan,Panama City,Panama,wha,embassy
USAmbassadorPAN,USAmbassadorPAN,Jonathan Farrar,twitter.com/USAmbassadorPAN,Panama City,Panama,wha,personal
laembajada,laembajada,US Embassy Asuncion,twitter.com/laembajada,Asuncion,Paraguay,wha,embassy
usaidparaguay,usaidparaguay,USAID/Paraguay,twitter.com/usaidparaguay,Asuncion,Paraguay,wha,usaid-mission
USEMBASSYPERU,USEMBASSYPERU,US Embassy Lima,twitter.com/USEMBASSYPERU,Lima,Peru,wha,embassy
USAIDPeru,USAIDPeru,USAID/Peru,twitter.com/USAIDPeru,Lima,Peru,wha,usaid-mission
usembassymanila,usembassymanila,U.S. Embassy Manila,twitter.com/usembassymanila,Manila,Philippines,eap,embassy
USAID_Manila,USAID_Manila,USAID Philippines,twitter.com/USAID_Manila,Manila,Philippines,eap,usaid-mission
AMBGoldberg,AMBGoldberg,Ambassador Philip Goldberg,twitter.com/AMBGoldberg,Manila,Philippines,eap,personal
USEmbassyWarsaw,USEmbassyWarsaw,US Embassy Warsaw,twitter.com/USEmbassyWarsaw,Warsaw,Poland,eur,embassy
AmbFeinstein,AmbFeinstein,Lee A. Feinstein,twitter.com/AmbFeinstein,Warsaw,Poland,eur,embassy
SteveMullUSA,SteveMullUSA,Stephen D. Mull,twitter.com/SteveMullUSA,Warsaw,Poland,eur,other
USEmbassyQatar,USEmbassyQatar,U.S. Embassy Qatar,twitter.com/USEmbassyQatar,Doha,Qatar ,nea,embassy
usconsulyekat,usconsulyekat,Консульство США/Урал,twitter.com/usconsulyekat,Yekaterinburg,Russia,eur,consulate
USEmbRu,USEmbRu,U.S. Embassy Russia,twitter.com/USEmbRu,Moscow,Russia,eur,embassy
McFaul,McFaul,Michael McFaul,twitter.com/McFaul,Moscow,Russia,eur,embassy
USAIDRwanda,USAIDRwanda,USAID Rwanda,twitter.com/USAIDRwanda,Kigali,Rwanda,af,usaid-mission
usembassysamoa,usembassysamoa,US Embassy Samoa,twitter.com/usembassysamoa,Apia,Samoa,eap,embassy
USEmbassyRiyadh,USEmbassyRiyadh,U.S. Embassy Riyadh,twitter.com/USEmbassyRiyadh,Riyadh,Saudi Arabia,nea,embassy
usembassyserbia,usembassyserbia,US Embassy Belgrade,twitter.com/usembassyserbia,Belgrade,Serbia,eur,embassy
USAIDSerbia,USAIDSerbia,USAID Serbia,twitter.com/USAIDSerbia,Belgrade,Serbia,eur,usaid-mission
RedWhiteBlueDot,RedWhiteBlueDot,US Embassy Singapore,twitter.com/RedWhiteBlueDot,Singapore,Singapore,eap,embassy
USEmbassySLO,USEmbassySLO,US Embassy Ljubljana,twitter.com/USEmbassySLO,Ljubljana,Slovenia,eur,embassy
USEmbassySA,USEmbassySA,US Embassy South Africa,twitter.com/USEmbassySA,Pretoria,South Africa,af,embassy
USAID_SAfrica,USAID_SAfrica,USAID SouthernAfrica,twitter.com/USAID_SAfrica,Pretoria,South Africa,af,usaid-mission
USembassySeoul,USembassySeoul,US Embassy Seoul,twitter.com/USembassySeoul,Seoul,South Korea,eap,embassy
AmbStephens,AmbStephens,Kathleen Stephens,twitter.com/AmbStephens,Seoul,South Korea,eap,personal
USembassyMadrid,USembassyMadrid,US Embassy Madrid,twitter.com/USembassyMadrid,Madrid,Spain,eur,embassy
USConsulateBCN,USConsulateBCN,USConsulateBarcelona,twitter.com/USConsulateBCN,Barcelona,Spain,eur,consulate
USAIDSriLanka,USAIDSriLanka,USAID Sri Lanka,twitter.com/USAIDSriLanka,Colombo2,Sri Lanka,sca,usaid-mission
USEmbSL,USEmbSL,U.S. Embassy Colombo,twitter.com/USEmbSL,Colombo,Sri Lanka,sca,embassy
